Species Name,"Organism
Type",Synonyms,Common Names,Broad Habitat,Exotic in,Invasive in,Main Reference
Pseudodiaptomus sp.,"Invertebrate -
crustacean",,A copepod,Marine,Colombia;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Pseudodiaptomus sp.,"Invertebrate -
crustacean",,A copepod,Marine,Colombia;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Pseudoeunotia doliolus,Micro-algae,,Diatoms,Marine,Colombia;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Pseudoeunotia doliolus,Micro-algae,,Diatoms,Marine,Colombia;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Psidium cattleianum,Plant - Tree,,Strawberry guava (ISC),,"Bermuda;Bahamas;Cuba;Guadelouupe;Jamaica;Martinique;Puerto
Rico;Venezuela;",,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Psidium cattleianum,Plant - Tree,,Strawberry guava (ISC),,"Bermuda;Bahamas;Cuba;Guadelouupe;Jamaica;Martinique;Puerto
Rico;Venezuela;",,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Psidium guajava,Plant - Tree,,Guava;Guayaba silvestre (Puerto Rico);,Terrestrial,"Bahamas Islands;Cuba;Dominican Republic;Haiti;Puerto
Rico;Bermuda;Anguilla;Cayman Islands (Cayman Brac,Grand Cayman,Little
Cayman);US Virgin Islands;Venezuela;Guyana;",Bahamas Islands;Puerto Rico;Bermuda;Venezuela;US Virgin Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Psidium guajava,Plant - Tree,,Guava;Guayaba silvestre (Puerto Rico);,Terrestrial,"Bahamas Islands;Cuba;Dominican Republic;Haiti;Puerto
Rico;Bermuda;Anguilla;Cayman Islands (Cayman Brac,Grand Cayman,Little
Cayman);US Virgin Islands;Venezuela;Guyana;",Bahamas Islands;Puerto Rico;Bermuda;Venezuela;US Virgin Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Psittacidae sp.,Vertebrate - Bird,,Psittacid;parrot,Terrestrial,Puerto Rico,Puerto Rico,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Psittacidae sp.,Vertebrate - Bird,,Psittacid;parrot,Terrestrial,Puerto Rico,Puerto Rico,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Psittacula krameri,Vertebrate - Bird,,Rose-ringed parakeet (ISC),,Cayman Islands;Puerto Rico;Cuba;Venezuela;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Psittacula krameri,Vertebrate - Bird,,Rose-ringed parakeet (ISC),,Cayman Islands;Puerto Rico;Cuba;Venezuela;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Pteridium aquilinum,Plant - Fern,,Bracken,Terrestrial,Jamaica;Bahamas Islands;,Jamaica;Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Pteridium aquilinum,Plant - Fern,,Bracken,Terrestrial,Jamaica;Bahamas Islands;,Jamaica;Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Pterocarpus indicus,Plant - Tree,,,Terrestrial,Puerto Rico;Cuba;Trinidad-Tobago;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Pterocarpus indicus,Plant - Tree,,,Terrestrial,Puerto Rico;Cuba;Trinidad-Tobago;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Pterocarpus macrocarpus,Plant - Tree,,,Terrestrial,Puerto Rico;Trinidad;Cuba,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Pterocarpus macrocarpus,Plant - Tree,,,Terrestrial,Puerto Rico;Trinidad;Cuba,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Pterois volitans,Vetebrate - Fish,,Lionfish,Marine,"Turks-Caicos,Cayman Islands;Bermuda;Haiti;Dominican Republic;Puerto
Rico;US Virgin Islands;Curacao;Barbados;Bahamas Islands;Cuba;Jamaica;
Venezuela;Honduras;Belize;Colombia;Nicaragua;Costa Rica;Panama;
Netherlands Antilles;Anguilla;British Virgin Islands;Guadeloupe;St. Kitts-
Nevis;Mexico;Florida;","Bermuda;Bahamas Islands;Cayman Islands;Jamaica;Puerto Rico;Turks-Caicos;US Virgin
Islands;Honduras:Belize;Colombia;Nicaragua;Costa Rica;Panama;Dominican
Republic;Cuba;Netherlands Antilles;Florida;","ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Pterois volitans,Vetebrate - Fish,,Lionfish,Marine,"Turks-Caicos,Cayman Islands;Bermuda;Haiti;Dominican Republic;Puerto
Rico;US Virgin Islands;Curacao;Barbados;Bahamas Islands;Cuba;Jamaica;
Venezuela;Honduras;Belize;Colombia;Nicaragua;Costa Rica;Panama;
Netherlands Antilles;Anguilla;British Virgin Islands;Guadeloupe;St. Kitts-
Nevis;Mexico;Florida;","Bermuda;Bahamas Islands;Cayman Islands;Jamaica;Puerto Rico;Turks-Caicos;US Virgin
Islands;Honduras:Belize;Colombia;Nicaragua;Costa Rica;Panama;Dominican
Republic;Cuba;Netherlands Antilles;Florida;","ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
"Pterygoplichthys
multiradiatus",Vertebrate - Fish,,,,Puerto Rico;,Puerto Rico;,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
"Pterygoplichthys
multiradiatus",Vertebrate - Fish,,,,Puerto Rico;,Puerto Rico;,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Pterygoplichthys pardalis,Vertebrate - Fish,,,,Puerto Rico;,Puerto Rico;,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
